Record ID,Name,Age,Email,Phone,Address
1,Alice Johnson,,,555-555-5555,456 Elm St
2,,50,,,456 Elm St
3,Jane Smith,45,bob@example.com,555-555-5555,456 Elm St
4,Jane Smith,,john@example.com,123-456-7890,789 Oak St
5,John Doe,,john@example.com,987-654-3210,123 Main St
6,John Doe,50,alice@example.com,,
7,Jane Smith,25,alice@example.com,666-666-6666,101 Pine St
8,Jane Smith,30,bob@example.com,123-456-7890,123 Main St
9,John Doe,30,,666-666-6666,
10,Alice Johnson,45,alice@example.com,555-555-5555,
11,John Doe,,alice@example.com,123-456-7890,123 Main St
12,,50,john@example.com,987-654-3210,456 Elm St
13,Jane Smith,50,,987-654-3210,
14,,25,bob@example.com,555-555-5555,123 Main St
15,Jane Smith,30,bob@example.com,555-555-5555,101 Pine St
16,Bob Brown,30,jane@example.com,555-555-5555,456 Elm St
17,John Doe,50,,666-666-6666,456 Elm St
18,Bob Brown,,,666-666-6666,789 Oak St
19,John Doe,30,john@example.com,555-555-5555,
20,,30,,987-654-3210,101 Pine St
21,Bob Brown,45,,666-666-6666,
22,Alice Johnson,45,john@example.com,987-654-3210,
23,John Doe,25,bob@example.com,555-555-5555,789 Oak St
24,Alice Johnson,30,,666-666-6666,101 Pine St
25,,25,jane@example.com,555-555-5555,789 Oak St
26,Bob Brown,50,alice@example.com,123-456-7890,456 Elm St
27,Bob Brown,30,john@example.com,666-666-6666,456 Elm St
28,,45,jane@example.com,555-555-5555,123 Main St
29,,45,bob@example.com,987-654-3210,789 Oak St
30,John Doe,45,john@example.com,123-456-7890,
31,,,alice@example.com,,456 Elm St
32,Bob Brown,25,alice@example.com,987-654-3210,101 Pine St
33,,45,jane@example.com,,456 Elm St
34,John Doe,30,,123-456-7890,101 Pine St
35,Bob Brown,25,bob@example.com,123-456-7890,456 Elm St
36,,30,bob@example.com,,789 Oak St
37,Bob Brown,45,jane@example.com,555-555-5555,101 Pine St
38,John Doe,50,jane@example.com,,
39,Jane Smith,45,bob@example.com,555-555-5555,789 Oak St
40,Bob Brown,,,666-666-6666,
41,,,alice@example.com,555-555-5555,789 Oak St
42,Bob Brown,25,alice@example.com,666-666-6666,123 Main St
43,,,bob@example.com,,789 Oak St
44,Bob Brown,25,,987-654-3210,789 Oak St
45,John Doe,,jane@example.com,666-666-6666,456 Elm St
46,Bob Brown,45,,555-555-5555,456 Elm St
47,,,alice@example.com,666-666-6666,789 Oak St
48,Bob Brown,30,bob@example.com,666-666-6666,
49,Bob Brown,50,jane@example.com,,789 Oak St
50,Bob Brown,30,,,
